Date,Sps,SapFlux_g_s_m2,SapFlow_cm3water_s,VPD_kPa,Avrg_VWC0_50,Hindex
3/19/2019,cepy,27.04133716,0.273013056,1.310465406,0.149476811,0.209038852
3/19/2019,cole,13.99812993,0.936332445,1.310465406,0.149476811,0.147889478
3/20/2019,cepy,22.91964336,0.22205166,1.424632954,0.134695475,0.181062147
3/20/2019,cole,11.48237003,0.759986079,1.424632954,0.134695475,0.133277945
3/21/2019,cepy,21.79791505,0.210935005,1.405539884,0.124823309,0.159024452
3/21/2019,cole,5.3137905,0.490761551,1.405539884,0.124823309,0.052595723
3/22/2019,cepy,21.47504413,0.2086349,1.024641329,0.119393255,0.147218739
3/22/2019,cole,3.99947678,0.437902538,1.024641329,0.119393255,0.015192696
3/23/2019,cepy,20.11950112,0.194957052,0.734169192,0.118215458,0.092289268
3/23/2019,cole,3.733812281,0.392531627,0.734169192,0.118215458,0.016156193
3/24/2019,cepy,18.32972428,0.178495703,0.707601164,0.11823296,0.092520766
3/24/2019,cole,6.108721909,0.639803798,0.707601164,0.11823296,0.021279746
3/25/2019,cepy,24.40293006,0.234933154,1.129590005,0.286729667,0.205869005
3/25/2019,cole,13.87903812,1.137965919,1.129590005,0.286729667,0.135174804
3/26/2019,cepy,24.94716566,0.239803425,1.295190268,0.271439674,0.165884974
3/26/2019,cole,15.63412623,1.118785109,1.295190268,0.271439674,0.136204761
3/27/2019,cepy,25.29467517,0.243184624,0.910395161,0.294903135,0.133215233
3/27/2019,cole,16.20601688,1.081201562,0.910395161,0.294903135,0.07187303
3/28/2019,cepy,24.98188283,0.242803444,1.377139149,0.296801126,0.185407322
3/28/2019,cole,14.11718283,1.058044019,1.377139149,0.296801126,0.138179509
3/29/2019,cepy,22.03660638,0.213374827,1.346185665,0.28026588,0.175430974
3/29/2019,cole,11.8810199,0.956964107,1.346185665,0.28026588,0.142819494
3/30/2019,cepy,21.16140453,0.203120008,0.802758454,0.274282261,0.068299682
3/30/2019,cole,8.925498117,0.946812528,0.802758454,0.274282261,0.021595076
3/31/2019,cepy,20.32755462,0.196215668,0.843242392,0.310065008,0.136334656
3/31/2019,cole,11.80846215,1.032632382,0.843242392,0.310065008,0.083533467
4/1/2019,cepy,20.98280697,0.200869279,1.082340835,0.299121572,0.139261082
4/1/2019,cole,11.65210004,0.896033583,1.082340835,0.299121572,0.099156518
4/2/2019,cepy,20.36924044,0.197213975,1.093054727,0.287325287,0.133548223
4/2/2019,cole,11.53915136,0.900499884,1.093054727,0.287325287,0.093237955
4/3/2019,cepy,20.92837454,0.203259712,1.169698809,0.297376545,0.127081752
4/3/2019,cole,13.45085507,1.075304511,1.169698809,0.297376545,0.096362918
4/4/2019,cepy,19.92682949,0.194628992,0.801818838,0.402445533,0.106798219
4/4/2019,cole,11.96614011,0.973993486,0.801818838,0.402445533,0.054072098
4/5/2019,cepy,16.40409417,0.16100747,0.85054615,0.397729224,0.113884648
4/5/2019,cole,11.65642875,0.895191381,0.85054615,0.397729224,0.102791202
4/6/2019,cepy,20.01455823,0.193939613,0.9241043,0.401858394,0.170420173
4/6/2019,cole,15.02134427,1.111460257,0.9241043,0.401858394,0.141625488
4/7/2019,cepy,19.84243146,0.190553972,0.942896089,0.380295598,0.149342466
4/7/2019,cole,12.02089795,0.962448983,0.942896089,0.380295598,0.111342437
4/8/2019,cepy,21.87824463,0.21017014,1.155488692,0.365805516,0.156433629
4/8/2019,cole,14.07166346,1.121851893,1.155488692,0.365805516,0.137580802
4/9/2019,cepy,20.68610103,0.19720391,1.04913873,0.355867772,0.096184962
4/9/2019,cole,11.94867913,0.958723434,1.04913873,0.355867772,0.067774972
4/10/2019,cepy,19.81965328,0.189062294,0.965030534,0.365438073,0.135100712
4/10/2019,cole,13.36543978,1.01053876,0.965030534,0.365438073,0.109578267
4/11/2019,cepy,31.18515507,0.301891875,1.154595473,0.360377354,0.172258474
4/11/2019,cole,13.25234658,1.056957793,1.154595473,0.360377354,0.117292268
4/12/2019,cepy,32.49298159,0.324881569,1.07778598,0.353764962,0.184466407
4/12/2019,cole,13.37440861,1.057837151,1.07778598,0.353764962,0.113877421
4/13/2019,cepy,29.0365033,0.29151616,1.261568276,0.348383297,0.164901152
4/13/2019,cole,14.44696068,1.149143572,1.261568276,0.348383297,0.125385054
4/14/2019,cepy,27.01939932,0.265442361,1.222921687,0.341793482,0.163493732
4/14/2019,cole,16.17144037,1.219748686,1.222921687,0.341793482,0.132094842
4/15/2019,cepy,24.33700658,0.240061537,1.09891801,0.37614536,0.181283702
4/15/2019,cole,17.22038252,1.24232127,1.09891801,0.37614536,0.168798482
4/16/2019,cepy,24.6675385,0.241025727,1.132326945,0.376730589,0.142720722
4/16/2019,cole,15.23808944,1.127085766,1.132326945,0.376730589,0.135387453
4/17/2019,cepy,25.29233861,0.245881424,1.307500877,0.367734494,0.210052187
4/17/2019,cole,16.57379796,1.198048243,1.307500877,0.367734494,0.183713668
4/18/2019,cepy,24.36930349,0.23759199,1.203641366,0.359342856,0.17775494
4/18/2019,cole,16.28686865,1.152198927,1.203641366,0.359342856,0.166386944
4/19/2019,cepy,29.2894975,0.284652833,1.218532612,0.351515732,0.17307582
4/19/2019,cole,16.78520364,1.185448163,1.218532612,0.351515732,0.146935411
4/20/2019,cepy,21.51547736,0.211762998,1.085707734,0.344471595,0.156688148
4/20/2019,cole,16.8137592,1.170450685,1.085707734,0.344471595,0.183311851
4/21/2019,cepy,26.21593878,0.265866507,0.841311547,0.338581099,0.12645766
4/21/2019,cole,15.73225565,1.097336901,0.841311547,0.338581099,0.135287143
4/22/2019,cepy,35.41533501,0.364153557,1.33074215,0.335099149,0.211764383
4/22/2019,cole,16.19897775,1.156982069,1.33074215,0.335099149,0.212994977
4/23/2019,cepy,32.42803665,0.32791685,1.168153689,0.329873408,0.183397302
4/23/2019,cole,17.33081874,1.220460403,1.168153689,0.329873408,0.156715492
4/24/2019,cepy,24.81275087,0.242982053,1.262459895,0.322859345,0.162742107
4/24/2019,cole,18.24414798,1.297029248,1.262459895,0.322859345,0.20955704
4/25/2019,cepy,28.61296133,0.277899015,1.143783726,0.318099434,0.140085496
4/25/2019,cole,18.11010372,1.293646914,1.143783726,0.318099434,0.166252288
4/26/2019,cepy,25.6577555,0.248843139,1.12219516,0.312475712,0.150932022
4/26/2019,cole,17.38980725,1.16735735,1.12219516,0.312475712,0.187855411
4/27/2019,cepy,24.08409086,0.231930078,1.294991575,0.306239136,0.141691752
4/27/2019,cole,19.58009274,1.312563575,1.294991575,0.306239136,0.201479722
4/28/2019,cepy,26.22345247,0.251890519,1.258918457,0.297041268,0.130408174
4/28/2019,cole,21.02069141,1.364327587,1.258918457,0.297041268,0.194152104
4/29/2019,cepy,21.6417879,0.207522916,1.085915165,0.28836222,0.121751863
4/29/2019,cole,18.50044172,1.192669066,1.085915165,0.28836222,0.138900781
4/30/2019,cepy,19.57701894,0.186846767,0.739660378,0.275970843,0.065757387
4/30/2019,cole,17.52929615,1.108960716,0.739660378,0.275970843,0.04589008
5/1/2019,cepy,22.35126758,0.215500474,0.953170381,0.288882339,0.14972379
5/1/2019,cole,20.29175127,1.338975592,0.953170381,0.288882339,0.197190204
5/2/2019,cepy,24.10747205,0.231905854,1.160282849,0.286146769,0.139119239
5/2/2019,cole,18.08071417,1.259116705,1.160282849,0.286146769,0.175108853
5/3/2019,cepy,24.43101175,0.235278815,1.318262458,0.279516358,0.190367406
5/3/2019,cole,17.62385239,1.21787512,1.318262458,0.279516358,0.260491442
5/4/2019,cepy,27.96561962,0.270019113,1.550407902,0.270005277,0.172150523
5/4/2019,cole,19.14381743,1.28991149,1.550407902,0.270005277,0.27562206
5/5/2019,cepy,26.82703618,0.25757975,1.407052871,0.260810372,0.194171781
5/5/2019,cole,19.48193073,1.302431957,1.407052871,0.260810372,0.229553916
5/6/2019,cepy,29.95917577,0.288383471,1.614581202,0.250108718,0.220785662
5/6/2019,cole,19.28098623,1.272838362,1.614581202,0.250108718,0.27718084
5/7/2019,cepy,33.66541623,0.323414098,1.354317873,0.240227623,0.200935639
5/7/2019,cole,18.9426075,1.252964991,1.354317873,0.240227623,0.208933222
5/8/2019,cepy,26.42914032,0.255881456,0.838817919,0.234408866,0.136479448
5/8/2019,cole,14.75837593,0.98780968,0.838817919,0.234408866,0.069898564
5/9/2019,cepy,29.05351888,0.27897724,0.960624245,0.231514017,0.184336682
5/9/2019,cole,20.34172321,1.332780406,0.960624245,0.231514017,0.259490627
5/10/2019,cepy,38.72217643,0.384062888,0.905529199,0.230992923,0.127951801
5/10/2019,cole,15.87722508,1.088167894,0.905529199,0.230992923,0.201443478
5/11/2019,cepy,32.44072922,0.330117568,1.061770158,0.225421876,0.178046947
5/11/2019,cole,16.59167761,1.161560932,1.061770158,0.225421876,0.245486048
5/12/2019,cepy,24.14435213,0.229653772,1.087722909,0.219998546,0.140473583
5/12/2019,cole,14.14761576,1.009434876,1.087722909,0.219998546,0.202375123
5/13/2019,cepy,19.05824763,0.179458502,0.913274728,0.214467392,0.085197367
5/13/2019,cole,13.85629182,0.96362698,0.913274728,0.214467392,0.13413624
